9,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
14,"{0: 1, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
18,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
19,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
21,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
22,"{0: 2, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
23,"{0: 3, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
27,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
28,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
29,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
34,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
35,"{0: 2, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
37,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
42,"{0: 2, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
44,"{0: 2, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 22: 0, 23: 0, 24: 0, 25: 0, 28: 0, 33: 0, 37: 0, 38: 0, 43: 0, 44: 0, 47: 0, 52: 0, 58: 0, 59: 0, 73: 0, 83: 0, 125: 0}"
