,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,29,31,32,35,36,37,39,41,43,44,52,55,68,90,106,142
284,,,,,,0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,0.0104,0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,0,,,,0.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,0.0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,0.0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,0.0032,0.0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,0.0032,,0.0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,0,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,,,0.0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,0.0031,0.0063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,,0.0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,0.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,0.0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,0.003,0.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,0.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,,,0.0087,,0.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,0.0029,,,,0.0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,0.0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,0,,,,,,,0.0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,0.0113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,0.0028,0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,0.0028,0.0056,,,,0.0167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,0.0028,,,,,,0.0193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,0.0027,,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,0,,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,,,0.0081,0.0108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,,0.0053,,0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,0,,,,0.0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,0,0.0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,0.0052,,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,0.0157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,0.0078,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,0.0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,,,0.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,0,0.0026,0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,0.0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,0.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,0.0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,0,,0.005,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,0.0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,0.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,0.0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,0.0097,,0.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,,0.0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,,,0.0072,,,,0.0167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,0.0024,,,,0.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,0,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
